"pop_id","country_code","year","fertility_rate","life_expectancy","size"
394,"TUN",2015,2.132,74.9759756097561,11253554
397,"TUR",2010,2.134,74.0909268292683,72310416
396,"TUR",2015,2.052,75.4262195121951,78665830
403,"TUV",2010,,,9827
402,"TUV",2015,,,9916
383,"TZA",2010,5.427,61.6256097560976,45648525
382,"TZA",2015,5.078,65.4874878048781,53470420
405,"UGA",2010,6.154,55.8366585365854,33149417
404,"UGA",2015,5.682,59.1790731707317,39032383
407,"UKR",2010,1.443,70.2653658536586,45870700
406,"UKR",2015,1.506,71.189512195122,45154029
415,"URY",2010,2.078,76.3946097560976,3374414
414,"URY",2015,2.007,77.1382195121951,3431555
413,"USA",2010,1.931,78.5414634146342,309346863
412,"USA",2015,1.843,78.7414634146342,321418820
417,"UZB",2010,2.342,67.8612926829268,28562400
416,"UZB",2015,2.491,68.4530731707317,31298900
367,"VCT",2010,2.07,72.3463902439024,109316
366,"VCT",2015,1.952,73.0523658536585,109462
421,"VEN",2010,2.472,73.6716097560976,28995745
420,"VEN",2015,2.34,74.4096097560976,31108083
56,"VGB",2010,,,27223
55,"VGB",2015,,,30117
425,"VIR",2010,1.81,79.1731707317073,106267
424,"VIR",2015,1.74,79.8731707317073,103574
423,"VNM",2010,1.946,74.9903658536585,86932500
422,"VNM",2015,1.96,75.7777317073171,91713300
419,"VUT",2010,3.499,70.8499512195122,236299
418,"VUT",2015,3.31,72.1573658536585,264652
325,"WSM",2010,4.338,72.417,186029
324,"WSM",2015,4.028,73.7648780487805,193228
209,"XKX",2010,2.29,69.9,1775680
208,"XKX",2015,2.09,71.3463414634146,1801800
429,"YEM",2010,4.703,62.7687317073171,23591972
428,"YEM",2015,4.043,64.0313902439024,26832215
353,"ZAF",2010,2.467,54.390756097561,50979432
352,"ZAF",2015,2.339,57.4409024390244,55011977
431,"ZMB",2010,5.687,56.3838536585366,13917439
430,"ZMB",2015,5.284,60.7856829268293,16211767
433,"ZWE",2010,4.048,49.5746585365854,13973897
432,"ZWE",2015,3.856,59.1610731707317,15602751
