"lang_id","code","name","percent","official"
499,"MYS","Telugu",,FALSE
500,"MYS","Malayalam",,FALSE
501,"MYS","Panjabi",,FALSE
502,"MYS","Thai",,FALSE
503,"MDV","Dhivehi",,TRUE
504,"MDV","English",,TRUE
505,"MLI","French",,TRUE
506,"MLI","Bambara",46.3,FALSE
507,"MLI","Peul/Foulfoulbe",9.4,FALSE
508,"MLI","Dogon",7.2,FALSE
509,"MLI","Maraka/Soninke",6.4,FALSE
510,"MLI","Malinke",5.6,FALSE
511,"MLI","Sonrhai/Djerma",5.6,FALSE
512,"MLI","Minianka",4.3,FALSE
513,"MLI","Tamacheq",3.5,FALSE
514,"MLI","Senoufo",2.6,FALSE
515,"MLI","Bobo",2.1,FALSE
516,"MLI","unspecified",0.7,FALSE
517,"MLI","Other",6.3,FALSE
518,"MLT","Maltese",90.1,TRUE
519,"MLT","English",6,TRUE
520,"MLT","multilingual",3,FALSE
521,"MLT","Other",0.9,FALSE
522,"MHL","Marshallese",98.2,TRUE
523,"MHL","Other",1.8,FALSE
524,"MRT","Arabic",,TRUE
525,"MRT","Pular",,FALSE
526,"MRT","Soninke",,FALSE
527,"MRT","Wolof",,FALSE
528,"MRT","French",,FALSE
529,"MUS","Creole",86.5,FALSE
530,"MUS","Bhojpuri",5.3,FALSE
531,"MUS","French",4.1,FALSE
532,"MUS","Other",2.6,FALSE
533,"MUS","unspecified",0.1,FALSE
534,"MEX","Spanish",92.7,FALSE
535,"MEX","indigenous",0.8,FALSE
536,"MEX","unspecified",0.8,FALSE
537,"FSM","English",,TRUE
538,"FSM","Chuukese",,FALSE
539,"FSM","Kosrean",,FALSE
540,"FSM","Pohnpeian",,FALSE
541,"FSM","Yapese",,FALSE
542,"FSM","Ulithian",,FALSE
543,"FSM","Woleaian",,FALSE
544,"FSM","Nukuoro",,FALSE
545,"FSM","Kapingamarangi",,FALSE
546,"MDA","Romanian",80.2,TRUE
547,"MDA","Russian",9.7,FALSE
548,"MDA","Gagauz",4.2,FALSE
549,"MDA","Ukrainian",3.9,FALSE
550,"MDA","Bulgarian",1.5,FALSE
551,"MDA","Romani",0.3,FALSE
552,"MDA","Other",0.2,FALSE
553,"MCO","French",,TRUE
554,"MCO","English",,FALSE
555,"MCO","Italian",,FALSE
556,"MCO","Monegasque",,FALSE
557,"MNG","Mongolian",90,TRUE
558,"MNG","Turkic",,FALSE
559,"MNG","Russian",,FALSE
560,"MSR","English",,FALSE
561,"MAR","Arabic",,TRUE
562,"MAR","Berber",,TRUE
563,"MAR","Tachelhit",,FALSE
564,"MAR","Tarifit",,FALSE
565,"MAR","French",,FALSE
566,"MAR","government",,FALSE
567,"MAR","and",,FALSE
568,"MOZ","Emakhuwa",25.3,FALSE
569,"MOZ","Portuguese",10.7,TRUE
570,"MOZ","Xichangana",10.3,FALSE
571,"MOZ","Cisena",7.5,FALSE
572,"MOZ","Elomwe",7,FALSE
573,"MOZ","Echuwabo",5.1,FALSE
574,"MOZ","Other",30.4,FALSE
575,"MOZ","unspecified",3.7,FALSE
576,"NAM","Oshivambo",48.9,FALSE
577,"NAM","Nama",11.3,FALSE
578,"NAM","Afrikaans",10.4,FALSE
579,"NAM","Otjiherero",8.6,FALSE
